Date,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,TRV,UNH,V,VZ,WBA,WMT
2013-01-23,18.357500076293945,83.06999969482422,58.93000030517578,74.29000091552734,96.8499984741211,42.60499954223633,20.6200008392334,115.01000213623047,53.95000076293945,145.55999755859375,66.45999908447266,65.08654022216797,195.71701049804688,21.110000610351562,72.8499984741211,46.22999954223633,37.130001068115234,93.4800033569336,99.48999786376953,40.85877990722656,27.610000610351562,26.545000076293945,3.0325000286102295,70.69000244140625,77.63999938964844,55.90999984741211,39.76250076293945,42.790000915527344,39.52000045776367,69.48999786376953
2013-01-24,16.08928680419922,82.62000274658203,59.29999923706055,75.31999969482422,96.5999984741211,43.0724983215332,21.020000457763672,115.5,53.95000076293945,144.9600067138672,67.3499984741211,65.05793762207031,195.43020629882812,20.950000762939453,73.0999984741211,46.369998931884766,37.11000061035156,93.30999755859375,99.66999816894531,41.03053283691406,27.6299991607666,26.93000030517578,3.047499895095825,70.41999816894531,78.08999633789062,56.220001220703125,39.88999938964844,42.59000015258789,39.439998626708984,69.79000091552734
2013-01-25,15.710000038146973,83.41999816894531,59.5,75.02999877929688,95.58000183105469,43.46500015258789,21.149999618530273,116.19999694824219,54.380001068115234,144.4600067138672,67.81999969482422,65.14373779296875,195.95602416992188,20.959999084472656,73.91999816894531,47.15999984741211,37.04999923706055,93.72000122070312,100.58999633789062,41.46946716308594,27.8799991607666,27.774999618530273,3.1024999618530273,73.25,78.3499984741211,56.040000915527344,39.959999084472656,42.66999816894531,39.66999816894531,69.0
2013-01-28,16.065357208251953,85.58999633789062,59.06999969482422,74.0,97.44999694824219,44.51750183105469,21.059999465942383,116.04000091552734,54.36000061035156,144.14999389648438,67.58000183105469,65.70623016357422,195.91778564453125,21.049999237060547,73.62000274658203,46.63999938964844,37.0099983215332,94.36000061035156,100.6500015258789,40.963741302490234,27.90999984741211,27.25,3.1524999141693115,73.7699966430664,77.3499984741211,55.810001373291016,39.087501525878906,42.77000045776367,40.099998474121094,69.3499984741211
2013-01-29,16.366785049438477,86.58999633789062,59.45000076293945,73.6500015258789,98.5999984741211,43.67250061035156,20.780000686645508,117.20999908447266,53.9900016784668,147.10000610351562,67.19999694824219,65.86830139160156,194.93307495117188,21.280000686645508,74.41000366210938,47.119998931884766,37.41999816894531,94.91999816894531,101.80999755859375,41.66030502319336,28.010000228881836,26.959999084472656,3.0850000381469727,75.0,77.80999755859375,56.279998779296875,39.165000915527344,43.5,40.060001373291016,69.88999938964844
2013-01-30,16.315357208251953,85.37999725341797,59.33000183105469,74.58999633789062,98.6500015258789,43.07500076293945,20.579999923706055,116.44999694824219,53.790000915527344,147.14999389648438,67.23999786376953,65.46788787841797,194.56979370117188,21.3700008392334,74.08999633789062,47.130001068115234,37.5,94.66999816894531,100.80000305175781,41.507633209228516,27.850000381469727,26.80500030517578,3.0799999237060547,75.08000183105469,77.58000183105469,56.08000183105469,38.752498626708984,43.61000061035156,39.869998931884766,69.75
2013-01-31,16.267499923706055,85.45999908447266,58.810001373291016,73.87000274658203,98.38999938964844,43.032501220703125,20.56999969482422,115.1500015258789,53.880001068115234,147.86000061035156,66.91999816894531,65.05793762207031,194.1395721435547,21.040000915527344,73.91999816894531,47.04999923706055,37.2400016784668,95.29000091552734,100.55000305175781,41.26908493041992,27.450000762939453,27.024999618530273,3.065000057220459,75.16000366210938,78.45999908447266,55.209999084472656,39.477500915527344,43.61000061035156,39.959999084472656,69.94999694824219
2013-02-01,16.200714111328125,86.30000305175781,59.90999984741211,74.87000274658203,99.48999786376953,43.76499938964844,20.829999923706055,116.5,54.59000015258789,149.89999389648438,67.30000305175781,65.92550659179688,196.1567840576172,21.360000610351562,74.18000030517578,47.849998474121094,37.540000915527344,95.94999694824219,101.55999755859375,39.91412353515625,27.93000030517578,26.850000381469727,3.0924999713897705,75.91999816894531,79.88999938964844,55.77000045776367,39.63999938964844,44.560001373291016,40.310001373291016,70.48999786376953
2013-02-04,15.79714298248291,85.73999786376953,59.40999984741211,75.20999908447266,98.26000213623047,43.189998626708984,20.81999969482422,115.19999694824219,53.900001525878906,147.52000427246094,66.36000061035156,65.3630142211914,194.82791137695312,21.15999984741211,74.11000061035156,47.68000030517578,37.349998474121094,94.5999984741211,100.7699966430664,38.979007720947266,27.440000534057617,26.829999923706055,3.0399999618530273,75.25,78.0,55.75,39.162498474121094,44.52000045776367,40.0099983215332,69.62999725341797
2013-02-05,16.351428985595703,86.52999877929688,60.65999984741211,75.88999938964844,98.44000244140625,43.099998474121094,21.079999923706055,115.80999755859375,54.290000915527344,150.4499969482422,66.38999938964844,66.6214599609375,193.87188720703125,21.18000030517578,74.66000366210938,48.790000915527344,38.13999938964844,94.91000366210938,101.48999786376953,39.53244400024414,27.5,26.94499969482422,3.109999895095825,75.69999694824219,78.6500015258789,57.77000045776367,39.88249969482422,44.560001373291016,41.33000183105469,70.7699966430664
